Device,Max Clients,Unique Clients,Building
Sinclair ACM 193A,2,3,Sinclair Library
Sinclair ACM 192,5,8,Sinclair Library
Sinclair ACM B03 Makai,1,2,Sinclair Library
Sinclair ACM 194,2,8,Sinclair Library
Sinclair ACM B08D,0,1,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,5,92,Kennedy
Crawford ECB Outdoor,2,16,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,1,7,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,3,18,Gateway
Spalding 256,4,6,Spalding Hall
Moore 328,1,5,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Holmes 101 Civil Engineering,1,2,Holmes Hall
Kuykendall 406,0,2,Kuykendall
Kuykendall Annex Rm 7,2,15,Kuykendall
Holmes 288A Hallway,2,6,Holmes Hall
Holmes 2nd Fl DH Commons,3,15,Holmes Hall
Holmes 247 Mauka,0,0,Holmes Hall
Holmes 307,4,4,Holmes Hall
Holmes 408,3,4,Holmes Hall
Holmes 485 Hallway,0,1,Holmes Hall
Holmes 482 Hallway,0,0,Holmes Hall
Holmes 489 Hallway,3,8,Holmes Hall
Holmes 102 Hallway,4,69,Holmes Hall
Holmes 406 Hallway,1,1,Holmes Hall
Holmes 408A,1,1,Holmes Hall
Holmes 100 Stairs,1,1,Holmes Hall
Holmes 101,3,3,Holmes Hall
Holmes 489,0,0,Holmes Hall
Holmes 486,1,1,Holmes Hall
Holmes 209,4,4,Holmes Hall
Holmes 102MC,0,0,Holmes Hall
Holmes Ewa Makai Stairs,1,32,Holmes Hall
Holmes 492,0,0,Holmes Hall
Holmes 207 Hallway,1,2,Holmes Hall
Holmes 102MD,0,0,Holmes Hall
Holmes 411,0,0,Holmes Hall
Holmes BET,0,0,Holmes Hall
Holmes 101A,1,1,Holmes Hall
Holmes 240 Ewa,1,3,Holmes Hall
Holmes 243,1,1,Holmes Hall
Holmes 248,0,0,Holmes Hall
Holmes 246,2,2,Holmes Hall
Holmes 244A,1,3,Holmes Hall
Holmes 491,0,0,Holmes Hall
Holmes 242 Makai,1,2,Holmes Hall
Holmes 240K Hallway,2,4,Holmes Hall
